//X Y Z Nx Ny Nz
158789.10937500 -8368.13378906 6881.95019531 -0.116564 0.897406 0.425530
158509.92187500 -8401.20507813 6876.05224609 -0.116564 0.897406 0.425530
157728.00000000 -8339.52929688 6534.14746094 -0.116564 0.897406 0.425530
157078.48437500 -8886.05273438 7510.71875000 -0.116564 0.897406 0.425530
158830.89062500 -9064.66113281 8362.14941406 -0.116564 0.897406 0.425530
158416.12500000 -7393.09960938 4724.69042969 -0.116564 0.897406 0.425530
157960.14062500 -7377.54541016 4560.13769531 -0.128730 0.898282 0.420141
158560.40625000 -6790.35546875 3489.28515625 -0.128730 0.898282 0.420141
157008.87500000 -6812.99511719 3061.45996094 -0.128730 0.898282 0.420141
158375.60937500 -6801.98730469 3457.42919922 -0.128730 0.898282 0.420141
157212.98437500 -7487.35302734 4565.52001953 -0.128730 0.898282 0.420141
157307.42187500 -6904.85498047 3349.44287109 -0.128730 0.898282 0.420141
155687.73437500 -6863.13476563 2747.40283203 -0.134791 0.898131 0.418560
155007.59375000 -6700.02050781 2177.50390625 -0.134791 0.898131 0.418560
154987.95312500 -7585.48779297 4072.73730469 -0.134791 0.898131 0.418560
155842.15625000 -6721.32373047 2492.71313477 -0.134791 0.898131 0.418560
154876.23437500 -7168.19921875 3140.51977539 -0.134791 0.898131 0.418560
154908.29687500 -6708.83691406 2164.37548828 -0.134791 0.898131 0.418560
154927.17187500 -7395.16699219 3644.38891602 -0.134791 0.898131 0.418560
156584.12500000 -7288.30615234 3945.41479492 -0.131511 0.897951 0.419987
155350.20312500 -8844.18554688 6883.85302734 -0.131511 0.897951 0.419987
156819.25000000 -7086.01708984 3586.77490234 -0.131511 0.897951 0.419987
156489.84375000 -7237.48144531 3807.26049805 -0.131511 0.897951 0.419987
154658.75000000 -8703.39746094 6366.31640625 -0.131511 0.897951 0.419987
156139.21875000 -8648.13964844 6712.10693359 -0.131511 0.897951 0.419987
156869.75000000 -8626.45410156 6894.66308594 -0.131511 0.897951 0.419987
108338.35156250 -10747.06054688 -2372.01440430 -0.055288 0.984598 0.165864
115687.35156250 -10749.51757813 40.61370850 -0.055288 0.984598 0.165864
113707.55468750 -10725.71386719 -746.42395020 -0.055288 0.984598 0.165864
115394.15625000 -10568.17871094 -1129.26049805 -0.055288 0.984598 0.165864
114156.58593750 -10689.39062500 -815.06567383 -0.055288 0.984598 0.165864
111590.60937500 -10719.11523438 -1476.29846191 -0.055288 0.984598 0.165864
114722.03125000 -10614.23339844 -1075.76684570 -0.055288 0.984598 0.165864
112418.58593750 -10679.27246094 -1442.14282227 -0.055288 0.984598 0.165864
114248.21875000 -10761.48437500 -358.10955811 -0.055288 0.984598 0.165864
117058.62500000 -10437.75878906 -1358.69311523 -0.055288 0.984598 0.165864
115670.68750000 -10357.96777344 -2284.25537109 -0.055288 0.984598 0.165864
110684.75000000 -10732.29003906 -1693.84790039 -0.055288 0.984598 0.165864
112715.25000000 -10547.12597656 -2128.12670898 -0.055288 0.984598 0.165864
109618.71093750 -10689.21875000 -2296.85400391 -0.055288 0.984598 0.165864
113637.50000000 -10656.73437500 -1177.89807129 -0.055288 0.984598 0.165864
114191.35156250 -10607.59179688 -1288.27502441 -0.055288 0.984598 0.165864
115063.61718750 -10657.98242188 -705.14733887 -0.055288 0.984598 0.165864
114728.44531250 -10781.88476563 -80.55926514 -0.055288 0.984598 0.165864
114477.58593750 -10411.18164063 -2358.35546875 -0.055288 0.984598 0.165864
111725.76562500 -10839.64843750 -718.19140625 -0.055288 0.984598 0.165864
109501.46093750 -10646.12597656 -2590.38623047 -0.055288 0.984598 0.165864
109825.29687500 -10745.93847656 -1893.44921875 -0.055288 0.984598 0.165864
110945.31250000 -10759.19531250 -1449.44653320 -0.055288 0.984598 0.165864
115469.18750000 -10802.56738281 283.67535400 -0.055288 0.984598 0.165864
117279.70312500 -10375.77441406 -1653.72363281 -0.055288 0.984598 0.165864
107079.42968750 -10831.45214844 -2007.44567871 -0.027631 0.993612 0.109419
111503.21875000 -10927.14160156 -72.66491699 -0.027631 0.993612 0.109419
105171.41406250 -11112.54003906 59.81274414 -0.027631 0.993612 0.109419
105880.71093750 -10943.84960938 -1286.55737305 -0.027631 0.993612 0.109419
108848.68750000 -11044.47753906 339.43688965 -0.027631 0.993612 0.109419
110551.24218750 -11122.79785156 1457.56433105 -0.027631 0.993612 0.109419
104336.00000000 -11255.29980469 1142.18542480 -0.027631 0.993612 0.109419
109694.50000000 -11098.12109375 1027.55163574 -0.027631 0.993612 0.109419
113215.78125000 -10969.90625000 727.83636475 -0.027631 0.993612 0.109419
102180.28906250 -11312.39453125 1133.04052734 -0.027631 0.993612 0.109419
110133.46093750 -11069.40917969 875.61236572 -0.027631 0.993612 0.109419
104940.14843750 -11005.73730469 -957.69152832 -0.027631 0.993612 0.109419
106334.36718750 -10939.04199219 -1219.75048828 -0.027631 0.993612 0.109419
104829.83593750 -11009.86523438 -947.30749512 -0.027631 0.993612 0.109419
112248.71875000 -11022.34472656 965.21569824 -0.027631 0.993612 0.109419
108032.82812500 -11018.97558594 -88.08715820 -0.027631 0.993612 0.109419
107153.89843750 -11065.57812500 118.13684082 -0.027631 0.993612 0.109419
102758.21093750 -11242.96875000 648.33374023 -0.027631 0.993612 0.109419
113313.21093750 -10915.36914063 260.55651855 -0.027631 0.993612 0.109419
109176.23437500 -11143.96679688 1314.46972656 -0.027631 0.993612 0.109419
107219.69531250 -11082.12890625 283.08129883 -0.027631 0.993612 0.109419
101269.29687500 -11354.00976563 1286.59545898 -0.027631 0.993612 0.109419
102220.48437500 -11260.28906250 673.76019287 -0.027631 0.993612 0.109419
107090.61718750 -10768.93554688 -2567.48339844 -0.027631 0.993612 0.109419
101857.05468750 -11314.20117188 1070.86499023 -0.027631 0.993612 0.109419
103941.47656250 -11080.42675781 -527.69543457 -0.027631 0.993612 0.109419
109186.50000000 -11098.39746094 906.76837158 -0.027631 0.993612 0.109419
111082.30468750 -11080.20312500 1203.01208496 -0.027631 0.993612 0.109419
102420.46875000 -11286.54785156 958.66125488 -0.027631 0.993612 0.109419
106517.60937500 -11107.07031250 337.23815918 -0.027631 0.993612 0.109419
108661.58593750 -10971.46777344 -363.17138672 -0.027631 0.993612 0.109419
113069.00000000 -10913.09179688 180.80065918 -0.027631 0.993612 0.109419
114545.07812500 -10969.11132813 1043.23510742 -0.027631 0.993612 0.109419
107458.02343750 -10953.85351563 -813.76879883 -0.027631 0.993612 0.109419
107796.80468750 -10940.45019531 -852.21826172 -0.027631 0.993612 0.109419
101582.42187500 -11097.92285156 -1437.79211426 -0.042891 0.995295 0.086882
100732.23437500 -11247.89160156 -146.74682617 -0.042891 0.995295 0.086882
97034.05468750 -11234.82324219 -2075.63623047 -0.042891 0.995295 0.086882
103199.42968750 -11086.09570313 -793.29370117 -0.042891 0.995295 0.086882
103637.15625000 -10974.94335938 -1842.82543945 -0.042891 0.995295 0.086882
96972.71875000 -11240.59082031 -2039.76721191 -0.042891 0.995295 0.086882
97185.64843750 -11212.31542969 -2257.84667969 -0.042891 0.995295 0.086882
105117.27343750 -10872.16992188 -2295.43603516 -0.042891 0.995295 0.086882
99727.60937500 -11112.40527344 -2166.70751953 -0.042891 0.995295 0.086882
99429.82031250 -11192.38085938 -1403.28344727 -0.042891 0.995295 0.086882
98621.09375000 -11162.13574219 -2135.62451172 -0.042891 0.995295 0.086882
98739.10937500 -11190.84082031 -1753.32409668 -0.042891 0.995295 0.086882
101132.75781250 -11072.17089844 -1946.30883789 -0.042891 0.995295 0.086882
101717.57031250 -11158.11914063 -690.18103027 -0.042891 0.995295 0.086882
104514.36718750 -11004.53613281 -1084.90417480 -0.042891 0.995295 0.086882
101342.77343750 -11330.47558594 1083.61108398 -0.042891 0.995295 0.086882
101725.32812500 -11208.03320313 -120.49389648 -0.042891 0.995295 0.086882
96376.34375000 -11206.60644531 -2712.26416016 -0.042891 0.995295 0.086882
101083.92968750 -11081.39941406 -1865.17651367 -0.042891 0.995295 0.086882
101397.07031250 -11104.77636719 -1449.33813477 -0.042891 0.995295 0.086882
102168.80468750 -11126.24902344 -834.26062012 -0.042891 0.995295 0.086882
103608.25000000 -10918.41406250 -2497.70947266 -0.042891 0.995295 0.086882
102197.35156250 -11016.68554688 -2062.81201172 -0.042891 0.995295 0.086882
99531.96093750 -11250.01269531 -700.64453125 -0.042891 0.995295 0.086882
97553.63281250 -11212.58984375 -2077.55126953 -0.042891 0.995295 0.086882
102818.32031250 -11076.01367188 -1091.11523438 -0.042891 0.995295 0.086882
97177.51562500 -11247.83203125 -1859.04895020 -0.042891 0.995295 0.086882
59433.50000000 -11469.19921875 -556.83074951 0.042528 0.998901 0.019708
59115.70312500 -11438.69531250 -1401.79760742 0.042528 0.998901 0.019708
58825.19921875 -11415.02636719 -1966.59423828 0.042528 0.998901 0.019708
60483.57812500 -11523.01953125 -78.48239136 0.042528 0.998901 0.019708
59364.28515625 -11460.45703125 -844.25720215 0.042528 0.998901 0.019708
57987.51562500 -11364.78515625 -2708.11914063 0.042528 0.998901 0.019708
59123.95703125 -11436.85156250 -1509.72448730 0.042528 0.998901 0.019708
47678.49218750 -10962.48437500 253.15606689 0.054869 0.997319 0.048414
48824.91796875 -10963.88574219 -1001.22265625 0.054869 0.997319 0.048414
47525.23046875 -10906.28222656 -724.59570313 0.054869 0.997319 0.048414
47502.65234375 -10983.36425781 876.91644287 0.054869 0.997319 0.048414
46393.34765625 -10957.03613281 1580.02185059 0.054869 0.997319 0.048414
48128.71875000 -10990.39941406 320.13024902 0.054869 0.997319 0.048414
47228.53125000 -10966.70703125 843.08032227 0.054869 0.997319 0.048414
49421.68750000 -10993.59472656 -1061.55847168 0.054869 0.997319 0.048414
48856.69531250 -10990.92675781 -483.80621338 0.054869 0.997319 0.048414
51717.97265625 -11093.82812500 -1506.13037109 0.050156 0.997783 0.043753
48616.94140625 -11050.19531250 1104.54809570 0.050156 0.997783 0.043753
52518.52734375 -11250.75195313 1158.86242676 0.050156 0.997783 0.043753
49654.86328125 -11127.55371094 1669.27514648 0.050156 0.997783 0.043753
49006.15234375 -11033.58496094 270.60144043 0.050156 0.997783 0.043753
51023.72656250 -11085.29687500 -893.28723145 0.050156 0.997783 0.043753
50827.90625000 -11070.92187500 -994.79370117 0.050156 0.997783 0.043753
47583.92187500 -11008.45703125 1350.64648438 0.050156 0.997783 0.043753
46739.22656250 -10979.33203125 1666.58618164 0.050156 0.997783 0.043753
52675.35937500 -11252.24511719 1010.48510742 0.050156 0.997783 0.043753
50002.95703125 -11106.73242188 786.65698242 0.050156 0.997783 0.043753
50022.26953125 -11055.72656250 -405.02478027 0.050156 0.997783 0.043753
50552.93750000 -11154.28125000 1236.21899414 0.050156 0.997783 0.043753
48636.52734375 -11022.23828125 440.88598633 0.050156 0.997783 0.043753
48137.89843750 -11034.23730469 1296.54821777 0.050156 0.997783 0.043753
51568.47656250 -11168.78320313 386.15148926 0.050156 0.997783 0.043753
49890.89843750 -11080.30078125 311.25866699 0.050156 0.997783 0.043753
47375.74218750 -10892.82421875 -801.55249023 0.066561 0.996229 0.055649
47519.62890625 -10854.90136719 -1664.87915039 0.066561 0.996229 0.055649
46896.41406250 -10904.83691406 -1.37094116 0.066561 0.996229 0.055649
46258.98828125 -10870.58007813 150.57031250 0.066561 0.996229 0.055649
46634.58984375 -10839.36914063 -872.24206543 0.066561 0.996229 0.055649
13912.22265625 -428.81777954 -815.86419678 0.074501 0.035631 0.996584
12973.13769531 -78.00054932 -758.06213379 0.074501 0.035631 0.996584
11929.42480469 -643.90283203 -659.97186279 0.074501 0.035631 0.996584
15131.30957031 -320.42578125 -910.86706543 0.074501 0.035631 0.996584
12091.40234375 -17.62774658 -694.26318359 0.074501 0.035631 0.996584
14095.26464844 -122.42156982 -840.40258789 0.074501 0.035631 0.996584
11121.17773438 -1248.47302246 -577.25482178 0.065480 0.035423 0.997225
16146.10644531 -3115.61987305 -862.76049805 0.077140 0.038027 0.996295
12537.09082031 -2450.37158203 -627.36962891 0.065480 0.035423 0.997225
12936.89257813 -2629.77636719 -647.20703125 0.065480 0.035423 0.997225
10913.50878906 -1448.50866699 -557.96667480 0.051970 0.035000 0.998035
4287.71289063 -396.28021240 -283.07635498 0.044376 0.066022 0.996831
4389.55371094 -250.99157715 -297.35946655 0.044376 0.066022 0.996831
4803.88720703 -109.22247314 -325.59542847 0.044376 0.066022 0.996831
3348.88403320 -52.08374023 -263.33898926 0.044376 0.066022 0.996831
8570.99316406 -344.85479736 -480.95120239 0.044376 0.066022 0.996831
6070.50292969 -496.70526123 -357.33599854 0.044376 0.066022 0.996831
3120.54418945 -371.04815674 -231.76583862 0.044376 0.066022 0.996831
53.43139648 -1164.20678711 -69.96888733 0.038926 0.041030 0.998399
4732.73779297 -1453.34655762 -244.77770996 0.038926 0.041030 0.998399
1263.39477539 -1838.28881836 -91.08769226 0.038926 0.041030 0.998399
3368.28320313 -809.88311768 -216.27349854 0.038926 0.041030 0.998399
656.87792969 -969.36169434 -101.84033966 0.038926 0.041030 0.998399
2253.54760742 -1344.09289551 -150.39489746 0.038926 0.041030 0.998399
5416.40039063 -1183.22412109 -282.86993408 0.038926 0.041030 0.998399
558.90380859 -1773.42407227 -65.62669373 0.038926 0.041030 0.998399
8919.43652344 -1026.86401367 -467.37237549 0.051970 0.035000 0.998035
9163.21093750 -888.24639893 -485.18676758 0.051970 0.035000 0.998035
10548.35351563 -309.16076660 -579.02416992 0.051970 0.035000 0.998035
8511.62890625 -626.91491699 -459.94610596 0.051970 0.035000 0.998035
12809.41015625 -2780.97094727 -633.34893799 0.065475 0.037567 0.997147
6309.35498047 -1301.48876953 -319.44696045 0.052076 0.037197 0.997950
9353.68847656 -2049.01098633 -453.81658936 0.051970 0.035000 0.998035
2321.65185547 -1942.32031250 -129.12571716 0.040947 0.036748 0.998485
8005.68261719 -2058.81982422 -381.87594604 0.052076 0.037197 0.997950
18098.39453125 -5355.57910156 -870.38092041 0.079074 0.067937 0.994551
17984.81054688 -3880.54492188 -961.69940186 0.079074 0.067937 0.994551
15897.21972656 -3630.35156250 -813.29974365 0.079074 0.067937 0.994551
17328.33984375 -3739.78149414 -919.25555420 0.079074 0.067937 0.994551
17515.95898438 -3425.15087891 -955.52044678 0.079074 0.067937 0.994551
10883.45605469 -3532.59863281 -475.47262573 0.065745 0.042034 0.996951
13229.52929688 -3367.19873047 -637.87805176 0.065745 0.042034 0.996951
8852.44140625 -3143.18505859 -377.67193604 0.054981 0.050669 0.997201
9271.00097656 -3598.31958008 -377.66940308 0.054981 0.050669 0.997201
5671.64111328 -3194.58496094 -221.86195374 0.044108 0.059169 0.997273
5267.01123047 -3042.15600586 -213.07315063 0.044108 0.059169 0.997273
4589.47167969 -3226.21337891 -171.81382751 0.044108 0.059169 0.997273
4117.52294922 -2991.63452148 -164.99421692 0.044108 0.059169 0.997273
2096.89892578 -2165.77954102 -111.93725586 0.040782 0.032417 0.998642
4846.28027344 -2542.62426758 -212.63079834 0.040782 0.032417 0.998642
4707.30761719 -2152.02294922 -219.41452026 0.040782 0.032417 0.998642
6180.11230469 -3036.33764648 -251.54626465 0.040782 0.032417 0.998642
5517.28564453 -2735.15649414 -233.99221802 0.040782 0.032417 0.998642
3191.15991211 -2031.47509766 -161.09837341 0.040782 0.032417 0.998642
7642.94873047 -2584.39770508 -336.95034790 0.054751 0.048310 0.997331
7999.00244141 -3171.09814453 -328.50555420 0.054751 0.048310 0.997331
6849.06640625 -1898.55981445 -325.98202515 0.054751 0.048310 0.997331
7981.55029297 -2402.86572266 -364.32705688 0.054751 0.048310 0.997331
1271.64599609 -3295.42993164 -20.16616821 0.043930 0.054645 0.997539
15475.13671875 -4527.49853516 -728.79980469 0.066295 0.048906 0.996601
13017.23242188 -4564.27734375 -563.78723145 0.066295 0.048906 0.996601
15243.36328125 -4525.64843750 -713.50140381 0.066295 0.048906 0.996601
17160.65429688 -5506.66259766 -792.50903320 0.066295 0.048906 0.996601
15830.20410156 -4722.08935547 -742.79559326 0.066295 0.048906 0.996601
14707.01855469 -4337.46435547 -687.15368652 0.066295 0.048906 0.996601
13978.95117188 -3679.75976563 -671.19158936 0.066295 0.048906 0.996601
13081.95214844 -3876.03417969 -601.96868896 0.066295 0.048906 0.996601
6765.85351563 -3592.92529297 -244.79730225 0.046186 0.113775 0.992432
4468.42919922 -3534.96069336 -143.81698608 0.046186 0.113775 0.992432
6603.36767578 -3567.21020508 -240.15223694 0.046186 0.113775 0.992432
9898.97460938 -4034.45263672 -386.70935059 0.058068 0.069024 0.995924
34181.52343750 -9913.95703125 65.82226563 0.097468 0.993724 0.054896
34012.39062500 -9873.24414063 -375.25708008 0.097468 0.993724 0.054896
32942.33203125 -9801.53027344 254.54980469 0.097468 0.993724 0.054896
33596.57812500 -9829.15332031 -429.09765625 0.097468 0.993724 0.054896
34026.76171875 -9956.62890625 1133.05700684 0.097468 0.993724 0.054896
33741.67578125 -9856.15917969 -196.44970703 0.097468 0.993724 0.054896
31329.24023438 -9624.76757813 214.20239258 0.107287 0.992687 0.055337
31983.47460938 -9667.27246094 -288.37707520 0.107287 0.992687 0.055337
32132.95312500 -9814.93359375 2029.03161621 0.107287 0.992687 0.055337
31991.79492188 -9771.56347656 1534.48828125 0.107287 0.992687 0.055337
32192.02343750 -9859.84082031 2707.76318359 0.107287 0.992687 0.055337
35177.26562500 -10024.55859375 292.26782227 0.097047 0.993898 0.052428
34548.17578125 -10041.91210938 1786.47741699 0.097047 0.993898 0.052428
33274.30468750 -9955.25683594 2496.21582031 0.097047 0.993898 0.052428
34613.95312500 -10032.93847656 1494.09729004 0.097047 0.993898 0.052428
34986.55859375 -10080.92285156 1716.95458984 0.097047 0.993898 0.052428
34406.84765625 -10028.20507813 1787.37854004 0.097047 0.993898 0.052428
34585.64843750 -10050.41406250 1878.80541992 0.097047 0.993898 0.052428
16908.33007813 -5702.60449219 -750.83941650 0.098347 0.200429 0.974759
15845.20898438 -5850.98486328 -613.18298340 0.098347 0.200429 0.974759
14695.08886719 -5790.41357422 -509.69924927 0.098347 0.200429 0.974759
15424.33007813 -5830.99902344 -574.86572266 0.098347 0.200429 0.974759
15397.67285156 -5806.83447266 -577.14477539 0.098347 0.200429 0.974759
29985.20703125 -9607.88574219 2534.18994141 0.109519 0.992444 0.055324
30505.80273438 -9657.06152344 2390.71679688 0.109519 0.992444 0.055324
30708.35937500 -9654.15332031 1940.69482422 0.109519 0.992444 0.055324
30203.89062500 -9632.02636719 2536.23339844 0.109519 0.992444 0.055324
29211.27343750 -9506.56542969 2242.87890625 0.109519 0.992444 0.055324
30388.55859375 -9661.66503906 2703.43457031 0.109519 0.992444 0.055324
30216.62695313 -9536.89746094 809.83935547 0.109519 0.992444 0.055324
11041.93261719 -7080.96435547 9508.23242188 0.152980 0.988229 -0.001117
13435.27636719 -7452.87597656 8907.63964844 0.152980 0.988229 -0.001117
11752.94824219 -7191.38183594 9472.39355469 0.152980 0.988229 -0.001117
14093.26074219 -7555.30371094 8373.76269531 0.152980 0.988229 -0.001117
13216.38867188 -7418.43701172 9826.86132813 0.152980 0.988229 -0.001117
14290.98339844 -7585.68066406 9031.89648438 0.152980 0.988229 -0.001117
12445.33203125 -7298.65478516 9948.24804688 0.152980 0.988229 -0.001117
11817.43164063 -7203.29980469 7538.72314453 0.152643 0.988281 -0.001114
13223.68359375 -7421.10498047 7682.08496094 0.152643 0.988281 -0.001114
13883.34960938 -7523.42773438 7411.53710938 0.152643 0.988281 -0.001114
9507.01562500 -6843.24023438 9072.29589844 0.152980 0.988229 -0.001117
10384.47265625 -6981.12548828 7810.53466797 0.152980 0.988229 -0.001117
8344.98632813 -6664.86621094 7863.91503906 0.152980 0.988229 -0.001117
7948.65136719 -6602.66162109 8382.04980469 0.152980 0.988229 -0.001117
